Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,P,15N
79,164.038615,164.03864668644044,164.0386878599511,1161067.8,nan,790366.0,7.82,-1,-0.2509987807731205,0.9886337518534006,0.0,0.5931802511120403,1.0,2.2,0.6,N1 S1 O3,de-protonated,0,,C5 H11 O3 S1 N1,5,11,3,1,1,,,,
190,220.147392,220.14716211025444,220.1471894834994,1656105.0,nan,431622.2,11.25,-1,-0.1243406514777851,0.9971986260655907,0.0,0.5983191756393544,0.0,2.4,0.2,N1 P1 O2,de-protonated,0,,C10 H24 O2 N1 P1,10,24,2,,1,,,1,
217,229.144917,229.14464516426312,229.14453265530582,1949711.1,nan,490107.9,13.48,-1,0.4909956000133077,0.957199881499464,0.0,0.5743199288996784,2.0,1.8333333333333333,0.3333333333333333,O4,de-protonated,0,,C12 H22 O4,12,22,4,,,,,,
218,231.066674,231.0663932051324,231.06628233291582,1634081.5,nan,434814.6,10.89,-1,0.4798286252577661,0.9590846578661425,0.0,0.5754507947196855,8.0,0.9230769230769231,0.3076923076923077,O4,de-protonated,0,,C13 H12 O4,13,12,4,,,,,,
238,238.036133,238.03581971387882,238.03571047977422,1187463.8,nan,499550.9,7.17,-1,0.458897971143854,0.9625100246690167,0.0,0.57750601480141,7.0,0.9,0.6,N1 O6,de-protonated,0,,C10 H9 O6 N1,10,9,6,,1,,,,
239,238.072516,238.07220254426318,238.0720959891585,1653399.3,nan,501543.4,10.95,-1,0.44757494252550206,0.9643042666021713,0.0,0.5785825599613027,6.0,1.1818181818181819,0.45454545454545453,N1 O5,de-protonated,0,,C11 H13 O5 N1,11,13,5,,1,,,,
240,238.963394,238.96307639103648,238.96308056511668,3944979.3,nan,509113.8,29.56,-1,-0.017467469005610498,0.9999446392749746,0.0,0.5999667835649847,12.0,0.3076923076923077,0.07692307692307693,S2 O1,de-protonated,0,,C13 H4 O1 S2,13,4,1,2,,,,,
243,239.056517,239.05619895690194,239.05611157205922,5180987.0,nan,458389.9,39.59,-1,0.36554113651436343,0.9760463226348505,0.0,0.5856277935809102,6.0,1.0909090909090908,0.5454545454545454,O6,de-protonated,0,,C11 H12 O6,11,12,6,,,,,,
244,239.092933,239.09261478713242,239.0924970814435,5885514.5,nan,476337.5,45.31,-1,0.49230189302758715,0.9569768165203608,0.0,0.5741860899122164,5.0,1.3333333333333333,0.4166666666666667,O5,de-protonated,0,,C12 H16 O5,12,16,5,,,,,,
245,239.125138,239.1248196369944,239.1248598388352,1207768.3,nan,507230.2,7.33,-1,-0.1681207082223602,0.9948845591042018,0.0,0.5969307354625211,0.0,2.5,0.75,N2 O6,de-protonated,0,,C8 H20 O6 N2,8,20,6,,2,,,,
